City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
461,sibolga,1.7427,98.7792,23.42,77,100,1.83,23.42,1675801425
462,dicabisagan,17.0818,122.4157,23.32,91,15,0.82,23.32,1675801426
463,pundaguitan,6.3711,126.1689,26.41,74,71,6.41,26.41,1675801427
464,richards bay,-28.783,32.0377,24.0,93,61,2.83,24.0,1675801355
465,alta floresta,-9.8756,-56.0861,27.03,87,100,1.28,27.03,1675801403
466,riyadh,24.6877,46.7219,16.08,31,98,4.29,16.08,1675801177
467,vilyuysk,63.7553,121.6247,-39.68,100,100,0.34,-39.68,1675801394
468,paracuru,-3.41,-39.0306,27.28,75,100,5.07,27.28,1675801429
469,barcelos,41.5388,-8.6151,11.03,69,0,1.89,11.03,1675801267
470,jawhar,2.7809,45.5005,23.9,80,15,6.67,23.9,1675801248
471,launceston,-41.45,147.1667,14.23,70,100,5.66,14.23,1675801257
472,vila velha,-20.3297,-40.2925,27.97,81,20,7.72,27.97,1675801242
473,charters towers,-20.1,146.2667,23.1,90,32,3.43,23.1,1675801432
474,ambanja,-13.6833,48.45,23.49,95,100,1.44,23.49,1675801433
475,chabahar,25.2919,60.643,22.12,65,0,2.67,22.12,1675801433
476,yellandu,17.6,80.3333,20.53,73,100,1.28,20.53,1675801434
477,saint-francois,46.4154,3.9054,1.69,72,0,1.03,1.69,1675801260
478,geraldton,-28.7667,114.6,19.23,88,75,4.63,19.23,1675801339
479,rurrenabaque,-14.4413,-67.5278,27.59,89,74,1.22,27.59,1675801435
480,chernyshevskiy,63.0128,112.4714,-36.04,99,100,0.44,-36.04,1675801436
481,le mars,42.7942,-96.1656,4.2,65,0,3.09,4.2,1675801437
482,igrim,63.1906,64.4162,-23.49,100,79,2.42,-23.49,1675801359
483,kanniyakumari,8.0833,77.5667,25.26,70,84,3.24,25.26,1675801438
484,san andres,12.5847,-81.7006,26.43,78,2,9.45,26.43,1675801147
485,dalbandin,28.8947,64.4101,16.57,22,56,0.65,16.57,1675801439
486,harsud,22.1,76.7333,18.51,32,0,3.11,18.51,1675801440
487,genhe,50.7833,121.5167,-31.38,100,99,0.56,-31.38,1675801441
